===== Export Data Log Control =====
RobotTypeName : ,VS060A3-AV6-NNN-NNN
RobotTypeID : ,99,0
File Version : ,3
[No.],[J1 - Command val],[J1 - Encoder val],[J1 - Current val],[J1 - Load ratio],[J2 - Command val],[J2 - Encoder val],[J2 - Current val],[J2 - Load ratio],[J3 - Command val],[J3 - Encoder val],[J3 - Current val],[J3 - Load ratio],[J4 - Command val],[J4 - Encoder val],[J4 - Current val],[J4 - Load ratio],[J5 - Command val],[J5 - Encoder val],[J5 - Current val],[J5 - Load ratio],[J6 - Command val],[J6 - Encoder val],[J6 - Current val],[J6 - Load ratio],[J7 - Command val],[J7 - Encoder val],[J7 - Current val],[J7 - Load ratio],[J8 - Command val],[J8 - Encoder val],[J8 - Current val],[J8 - Load ratio],[File Name],[Line No],[Uptime(ms)], [X - Command val], [Y - Command val], [Z - Command val], [RX - Command val], [RY - Command val], [RZ - Command val], [FIG - Command val], [X - Encoder val], [Y - Encoder val], [Z - Encoder val], [RX - Encoder val], [RY - Encoder val], [RZ - Encoder val], [FIG - Encoder val]
1,-9.964252E-15,0,4.296054,6.798724,2.831069E-15,0,3.538029,18.22784,0,0,1.699614,8.895782,0,-6.866455E-05,3.870194,8.330968,0,0,4.796097,7.393247,0,5.493164E-05,5.489546,8.17993,0,0,0,0,0,0,0,0,"",-1,7586896,-10,1.73909E-15,1019.929,0,2.831069E-15,-9.964252E-15,4,-10,0,1019.929,0,0,-1.373291E-05,4
2,-9.964252E-15,-3.433228E-05,4.296054,6.793746,2.831069E-15,-2.288818E-05,3.538029,18.21079,0,0,1.498919,8.887803,0,0,5.911819,8.333974,0,0,4.758772,7.396531,0,0,5.067274,8.183111,0,0,0,0,0,0,0,0,"",-1,7586904,-10,1.73909E-15,1019.929,0,2.831069E-15,-9.964252E-15,4,-10.00027,5.992274E-06,1019.929,0,-2.288818E-05,-3.433228E-05,4
3,-9.964252E-15,0,4.296054,6.793746,2.831069E-15,0,3.538029,18.21079,0,4.997795E-05,1.498919,8.887803,0,-3.433228E-05,5.067274,8.333974,0,0,4.758772,7.396531,0,0,5.067274,8.183111,0,0,0,0,0,0,0,0,"",-1,7586912,-10,1.73909E-15,1019.929,0,2.831069E-15,-9.964252E-15,4,-9.999678,0,1019.929,-2.994735E-11,4.997795E-05,-3.433228E-05,4
4,-9.964252E-15,-3.433228E-05,4.055224,6.793746,2.831069E-15,0,3.538029,18.21079,0,-2.498897E-05,1.699614,8.887803,0,-3.433228E-05,3.870194,8.333974,0,0,4.408657,7.396531,0,0,5.067274,8.183111,0,0,0,0,0,0,0,0,"",-1,7586920,-10,1.73909E-15,1019.929,0,2.831069E-15,-9.964252E-15,4,-10.00016,5.992209E-06,1019.929,1.497367E-11,-2.498897E-05,-6.866455E-05,4
5,-9.964252E-15,0,4.226647,6.793746,2.831069E-15,0,3.538029,18.21079,0,2.498897E-05,1.498919,8.887803,0,-6.866455E-05,5.067274,8.333974,0,0,4.796097,7.396531,0,0,4.645,8.183111,0,0,0,0,0,0,0,0,"",-1,7586928,-10,1.73909E-15,1019.929,0,2.831069E-15,-9.964252E-15,4,-9.999839,0,1019.929,-2.994735E-11,2.498897E-05,-6.866455E-05,4
6,-9.964252E-15,0,3.966736,6.788679,2.831069E-15,0,3.538029,18.19376,0,4.997795E-05,1.498919,8.879701,0,-3.433228E-05,4.702231,8.336702,0,0,4.408657,7.399548,0,0,4.869887,8.186213,0,0,0,0,0,0,0,0,"",-1,7586936,-10,1.73909E-15,1019.929,0,2.831069E-15,-9.964252E-15,4,-9.999678,0,1019.929,-2.994735E-11,4.997795E-05,-3.433228E-05,4
7,-9.964252E-15,0,4.226647,6.788679,2.831069E-15,2.288818E-05,3.538029,18.19376,0,0,1.699614,8.879701,0,3.433228E-05,5.538055,8.336702,0,0,4.408657,7.399548,0,0,5.067274,8.186213,0,0,0,0,0,0,0,0,"",-1,7586944,-10,1.73909E-15,1019.929,0,2.831069E-15,-9.964252E-15,4,-9.99973,0,1019.929,1.371486E-11,2.288818E-05,3.433228E-05,4
8,-9.964252E-15,0,4.226647,6.788679,2.831069E-15,0,2.997837,18.19376,0,0,1.962545,8.879701,0,0,5.538055,8.336702,0,0,4.408657,7.399548,0,0,4.645,8.186213,0,0,0,0,0,0,0,0,"",-1,7586952,-10,1.73909E-15,1019.929,0,2.831069E-15,-9.964252E-15,4,-10,0,1019.929,0,0,0,4
9,-9.964252E-15,0,4.296054,6.788679,2.831069E-15,0,3.538029,18.19376,0,0,1.498919,8.879701,0,0,5.067274,8.336702,0,-2.641691E-05,4.758772,7.399548,0,0,4.869887,8.186213,0,0,0,0,0,0,0,0,"",-1,7586960,-10,1.73909E-15,1019.929,0,2.831069E-15,-9.964252E-15,4,-10.00003,0,1019.929,0,-2.641691E-05,0,4
10,-9.964252E-15,0,3.906631,6.783638,2.831069E-15,0,2.997837,18.17664,0,-2.498897E-05,1.498919,8.871696,0,3.433228E-05,5.538055,8.340454,0,0,4.758772,7.40255,0,0,5.067274,8.189315,0,0,0,0,0,0,0,0,"",-1,7586968,-10,1.73909E-15,1019.929,0,2.831069E-15,-9.964252E-15,4,-10.00016,0,1019.929,-1.497367E-11,-2.498897E-05,3.433228E-05,4
11,-9.964252E-15,0,4.226647,6.783638,2.831069E-15,0,3.15435,18.17664,0,0,1.498919,8.871696,0,0,4.702231,8.340454,0,0,4.758772,7.40255,0,0,4.869887,8.189315,0,0,0,0,0,0,0,0,"",-1,7586976,-10,1.73909E-15,1019.929,0,2.831069E-15,-9.964252E-15,4,-10,0,1019.929,0,0,0,4
12,-9.964252E-15,0,4.226647,6.783638,2.831069E-15,2.288818E-05,3.538029,18.17664,0,0,2.042682,8.871696,0,-6.866455E-05,4.222728,8.340454,0,-2.641691E-05,4.408657,7.40255,0,5.493164E-05,5.067274,8.189315,0,0,0,0,0,0,0,0,"",-1,7586984,-10,1.73909E-15,1019.929,0,2.831069E-15,-9.964252E-15,4,-9.999763,3.867444E-11,1019.929,-3.081284E-11,-3.52873E-06,-1.373291E-05,4
13,-9.964252E-15,0,4.226647,6.783638,2.831069E-15,-2.288818E-05,3.538029,18.17664,0,0,1.699614,8.871696,0,0,4.702231,8.340454,0,0,4.408657,7.40255,0,0,4.869887,8.189315,0,0,0,0,0,0,0,0,"",-1,7586992,-10,1.73909E-15,1019.929,0,2.831069E-15,-9.964252E-15,4,-10.00027,0,1019.929,0,-2.288818E-05,0,4
14,-9.964252E-15,-3.433228E-05,3.966736,6.778602,2.831069E-15,0,4.085364,18.15966,0,0,1.498919,8.863718,0,3.433228E-05,5.067274,8.343177,0,0,4.408657,7.405428,0,0,4.869887,8.192424,0,0,0,0,0,0,0,0,"",-1,7587000,-10,1.73909E-15,1019.929,0,2.831069E-15,-9.964252E-15,4,-10,5.992113E-06,1019.929,0,0,0,4
15,-9.964252E-15,0,4.226647,6.778602,2.831069E-15,0,3.538029,18.15966,0,0,2.042682,8.863718,0,-3.433228E-05,3.870194,8.343177,0,2.641691E-05,4.408657,7.405428,0,0,4.869887,8.192424,0,0,0,0,0,0,0,0,"",-1,7587008,-10,1.73909E-15,1019.929,0,2.831069E-15,-9.964252E-15,4,-9.999968,-1.933722E-11,1019.929,2.892698E-27,2.641691E-05,-3.433228E-05,0
16,-9.964252E-15,0,4.226647,6.778602,2.831069E-15,2.288818E-05,3.15435,18.15966,0,0,1.498919,8.863718,0,3.433228E-05,4.702231,8.343177,0,0,4.796097,7.405428,0,0,4.44892,8.192424,0,0,0,0,0,0,0,0,"",-1,7587016,-10,1.73909E-15,1019.929,0,2.831069E-15,-9.964252E-15,4,-9.99973,0,1019.929,1.371486E-11,2.288818E-05,3.433228E-05,4
17,-9.964252E-15,0,4.296054,6.778602,2.831069E-15,0,2.997837,18.15966,0,0,2.042682,8.863718,0,-3.433228E-05,3.870194,8.343177,0,0,4.758772,7.405428,0,0,5.067274,8.192424,0,0,0,0,0,0,0,0,"",-1,7587024,-10,1.73909E-15,1019.929,0,2.831069E-15,-9.964252E-15,4,-10,0,1019.929,0,0,-3.433228E-05,4
18,-9.964252E-15,0,4.296054,6.773648,2.831069E-15,2.288818E-05,3.538029,18.14259,0,2.498897E-05,1.962545,8.855922,0,0,5.067274,8.345533,0,-2.641691E-05,4.408657,7.408441,0,5.493164E-05,5.067274,8.195457,0,0,0,0,0,0,0,0,"",-1,7587032,-10,1.73909E-15,1019.929,0,2.831069E-15,-9.964252E-15,4,-9.999601,0,1019.929,2.057475E-11,2.146024E-05,5.493164E-05,4
19,-9.964252E-15,0,4.296054,6.773648,2.831069E-15,0,2.997837,18.14259,0,0,2.042682,8.855922,0,0,5.067274,8.345533,0,0,4.408657,7.408441,0,-5.493164E-05,5.067274,8.195457,0,0,0,0,0,0,0,0,"",-1,7587040,-10,1.73909E-15,1019.929,0,2.831069E-15,-9.964252E-15,4,-10,0,1019.929,0,0,-5.493164E-05,4
20,-9.964252E-15,0,4.226647,6.773648,2.831069E-15,2.288818E-05,3.538029,18.14259,0,0,1.498919,8.855922,0,0,4.468915,8.345533,0,0,4.408657,7.408441,0,-5.493164E-05,4.869887,8.195457,0,0,0,0,0,0,0,0,"",-1,7587048,-10,1.73909E-15,1019.929,0,2.831069E-15,-9.964252E-15,4,-9.99973,0,1019.929,-2.194377E-11,2.288818E-05,-5.493164E-05,4
21,-9.964252E-15,0,4.055224,6.773648,2.831069E-15,0,3.538029,18.14259,0,2.498897E-05,1.498919,8.855922,0,0,4.702231,8.345533,0,0,4.758772,7.408441,0,-5.493164E-05,4.869887,8.195457,0,0,0,0,0,0,0,0,"",-1,7587056,-10,1.73909E-15,1019.929,0,2.831069E-15,-9.964252E-15,4,-9.999839,0,1019.929,-2.395788E-11,2.498897E-05,-5.493164E-05,4
22,-9.964252E-15,0,4.226647,6.768654,2.831069E-15,-2.288818E-05,3.538029,18.12557,0,0,1.498919,8.847919,0,0,4.702231,8.348333,0,0,4.796097,7.411452,0,0,4.869887,8.198563,0,0,0,0,0,0,0,0,"",-1,7587064,-10,1.73909E-15,1019.929,0,2.831069E-15,-9.964252E-15,4,-10.00027,0,1019.929,0,-2.288818E-05,0,4
23,-9.964252E-15,0,4.226647,6.768654,2.831069E-15,0,3.538029,18.12557,0,4.997795E-05,1.498919,8.847919,0,3.433228E-05,4.702231,8.348333,0,0,4.758772,7.411452,0,-5.493164E-05,5.291063,8.198563,0,0,0,0,0,0,0,0,"",-1,7587072,-10,1.73909E-15,1019.929,0,2.831069E-15,-9.964252E-15,4,-9.999678,0,1019.929,-1.796841E-11,4.997795E-05,-2.059937E-05,4
24,-9.964252E-15,0,4.055224,6.768654,2.831069E-15,0,3.538029,18.12557,0,0,1.699614,8.847919,0,6.866455E-05,4.702231,8.348333,0,0,4.408657,7.411452,0,0,4.869887,8.198563,0,0,0,0,0,0,0,0,"",-1,7587080,-10,1.73909E-15,1019.929,0,2.831069E-15,-9.964252E-15,4,-10,0,1019.929,0,0,6.866455E-05,4
25,-9.964252E-15,0,3.966736,6.768654,2.831069E-15,-2.288818E-05,3.715038,18.12557,0,0,1.498919,8.847919,0,0,3.870194,8.348333,0,0,4.408657,7.411452,0,0,4.44892,8.198563,0,0,0,0,0,0,0,0,"",-1,7587088,-10,1.73909E-15,1019.929,0,2.831069E-15,-9.964252E-15,4,-10.00027,0,1019.929,0,-2.288818E-05,0,4
26,-9.964252E-15,0,4.226647,6.763604,2.831069E-15,0,4.085364,18.10871,0,2.498897E-05,1.498919,8.839858,0,0,5.911819,8.351212,0,2.641691E-05,4.408657,7.414326,0,0,5.067274,8.201668,0,0,0,0,0,0,0,0,"",-1,7587096,-10,1.73909E-15,1019.929,0,2.831069E-15,-9.964252E-15,4,-9.999806,0,1019.929,0,5.140588E-05,0,0
27,-9.964252E-15,0,3.966736,6.763604,2.831069E-15,-2.288818E-05,3.538029,18.10871,0,0,1.498919,8.839858,0,-3.433228E-05,3.870194,8.351212,0,0,4.758772,7.414326,0,0,5.067274,8.201668,0,0,0,0,0,0,0,0,"",-1,7587104,-10,1.73909E-15,1019.929,0,2.831069E-15,-9.964252E-15,4,-10.00027,0,1019.929,1.371486E-11,-2.288818E-05,-3.433228E-05,4
28,-9.964252E-15,0,4.226647,6.763604,2.831069E-15,0,3.446116,18.10871,0,2.498897E-05,2.042682,8.839858,0,-6.866455E-05,3.870194,8.351212,0,0,4.408657,7.414326,0,-5.493164E-05,5.291063,8.201668,0,0,0,0,0,0,0,0,"",-1,7587112,-10,1.73909E-15,1019.929,0,2.831069E-15,-9.964252E-15,4,-9.999839,0,1019.929,-5.390522E-11,2.498897E-05,-1.235962E-04,4
29,-9.964252E-15,0,3.966736,6.763604,2.831069E-15,0,2.997837,18.10871,0,0,1.498919,8.839858,0,-6.866455E-05,4.702231,8.351212,0,2.641691E-05,4.758772,7.414326,0,0,5.067274,8.201668,0,0,0,0,0,0,0,0,"",-1,7587120,-10,1.73909E-15,1019.929,0,2.831069E-15,-9.964252E-15,4,-9.999968,-3.867444E-11,1019.929,-5.785395E-27,2.641691E-05,-6.866455E-05,0
30,-9.964252E-15,0,4.226647,6.758542,2.831069E-15,-2.288818E-05,3.538029,18.09172,0,0,1.962545,8.831967,0,3.433228E-05,4.702231,8.353457,0,0,4.408657,7.417321,0,-5.493164E-05,4.028225,8.204697,0,0,0,0,0,0,0,0,"",-1,7587128,-10,1.73909E-15,1019.929,0,2.831069E-15,-9.964252E-15,4,-10.00027,0,1019.929,8.228914E-12,-2.288818E-05,-2.059937E-05,4
31,-9.964252E-15,0,4.226647,6.758542,2.831069E-15,2.288818E-05,3.446116,18.09172,0,-2.498897E-05,1.962545,8.831967,0,0,3.870194,8.353457,0,2.641691E-05,4.758772,7.417321,0,0,4.44892,8.204697,0,0,0,0,0,0,0,0,"",-1,7587136,-10,1.73909E-15,1019.929,0,2.831069E-15,-9.964252E-15,4,-9.99986,0,1019.929,0,2.431612E-05,0,0
32,-9.964252E-15,0,4.296054,6.758542,2.831069E-15,0,3.538029,18.09172,0,0,1.498919,8.831967,0,-6.866455E-05,5.067274,8.353457,0,-2.641691E-05,4.468915,7.417321,0,0,4.869887,8.204697,0,0,0,0,0,0,0,0,"",-1,7587144,-10,1.73909E-15,1019.929,0,2.831069E-15,-9.964252E-15,4,-10.00003,3.867444E-11,1019.929,5.785395E-27,-2.641691E-05,-6.866455E-05,4
33,-9.964252E-15,0,3.966736,6.758542,2.831069E-15,2.288818E-05,2.997837,18.09172,0,-2.498897E-05,1.498919,8.831967,0,0,3.870194,8.353457,0,-2.641691E-05,4.408657,7.417321,0,-5.493164E-05,4.869887,8.204697,0,0,0,0,0,0,0,0,"",-1,7587152,-10,1.73909E-15,1019.929,0,2.831069E-15,-9.964252E-15,4,-9.999924,0,1019.929,2.7341E-11,-2.85177E-05,-5.493164E-05,4
34,-9.964252E-15,0,4.055224,6.753517,2.831069E-15,0,3.538029,18.07475,0,-2.498897E-05,1.498919,8.823974,0,0,4.702231,8.355811,0,0,4.758772,7.420336,0,0,5.067274,8.207657,0,0,0,0,0,0,0,0,"",-1,7587160,-10,1.73909E-15,1019.929,0,2.831069E-15,-9.964252E-15,4,-10.00016,0,1019.929,0,-2.498897E-05,0,4
35,-9.964252E-15,0,3.966736,6.753517,2.831069E-15,2.288818E-05,3.538029,18.07475,0,2.498897E-05,1.498919,8.823974,0,3.433228E-05,4.702231,8.355811,0,0,4.468915,7.420336,0,-5.493164E-05,4.869887,8.207657,0,0,0,0,0,0,0,0,"",-1,7587168,-10,1.73909E-15,1019.929,0,2.831069E-15,-9.964252E-15,4,-9.999569,0,1019.929,-1.721312E-11,4.787715E-05,-2.059937E-05,4
36,-9.964252E-15,0,3.966736,6.753517,2.831069E-15,2.288818E-05,3.15435,18.07475,0,2.498897E-05,1.498919,8.823974,0,0,4.702231,8.355811,0,0,4.758772,7.420336,0,0,4.44892,8.207657,0,0,0,0,0,0,0,0,"",-1,7587176,-10,1.73909E-15,1019.929,0,2.831069E-15,-9.964252E-15,4,-9.999569,0,1019.929,0,4.787715E-05,0,4
37,-9.964252E-15,0,4.296054,6.753517,2.831069E-15,-2.288818E-05,3.715038,18.07475,0,0,1.962545,8.823974,0,0,4.702231,8.355811,0,0,4.408657,7.420336,0,0,4.869887,8.207657,0,0,0,0,0,0,0,0,"",-1,7587184,-10,1.73909E-15,1019.929,0,2.831069E-15,-9.964252E-15,4,-10.00027,0,1019.929,0,-2.288818E-05,0,4
38,-9.964252E-15,0,3.966736,6.748431,2.831069E-15,-4.577637E-05,3.715038,18.05785,0,2.498897E-05,1.699614,8.816029,0,3.433228E-05,5.067274,8.358682,0,-2.641691E-05,4.408657,7.423228,0,5.493164E-05,4.702231,8.210496,0,0,0,0,0,0,0,0,"",-1,7587192,-10,1.73909E-15,1019.929,0,2.831069E-15,-9.964252E-15,4,-10.00041,-1.933722E-11,1019.929,-5.771261E-11,-4.720431E-05,8.926391E-05,4
39,-9.964252E-15,0,3.966736,6.748431,2.831069E-15,0,3.538029,18.05785,0,0,1.133076,8.816029,0,3.433228E-05,4.702231,8.358682,0,2.641691E-05,4.758772,7.423228,0,-5.493164E-05,5.067274,8.210496,0,0,0,0,0,0,0,0,"",-1,7587200,-10,1.73909E-15,1019.929,0,2.831069E-15,-9.964252E-15,4,-9.999968,1.933722E-11,1019.929,-2.53269E-11,2.641691E-05,-2.059937E-05,0
40,-9.964252E-15,0,4.055224,6.748431,2.831069E-15,-2.288818E-05,3.538029,18.05785,0,0,1.498919,8.816029,0,0,4.702231,8.358682,0,0,4.408657,7.423228,0,5.493164E-05,5.067274,8.210496,0,0,0,0,0,0,0,0,"",-1,7587208,-10,1.73909E-15,1019.929,0,2.831069E-15,-9.964252E-15,4,-10.00027,0,1019.929,-2.194377E-11,-2.288818E-05,5.493164E-05,4
41,-9.964252E-15,0,4.055224,6.748431,2.831069E-15,0,3.538029,18.05785,0,0,1.498919,8.816029,0,0,4.702231,8.358682,0,2.641691E-05,4.408657,7.423228,0,0,5.067274,8.210496,0,0,0,0,0,0,0,0,"",-1,7587216,-10,1.73909E-15,1019.929,0,2.831069E-15,-9.964252E-15,4,-9.999968,0,1019.929,0,2.641691E-05,0,0
42,-9.964252E-15,0,4.055224,6.74334,2.831069E-15,-2.288818E-05,2.997837,18.04092,0,0,1.962545,8.807981,0,6.866455E-05,5.067274,8.361552,0,-2.641691E-05,4.408657,7.426097,0,0,4.645,8.213654,0,0,0,0,0,0,0,0,"",-1,7587224,-10,1.73909E-15,1019.929,0,2.831069E-15,-9.964252E-15,4,-10.0003,-3.867444E-11,1019.929,-2.742971E-11,-4.93051E-05,6.866455E-05,4
43,-9.964252E-15,0,3.966736,6.74334,2.831069E-15,0,3.538029,18.04092,0,2.498897E-05,1.498919,8.807981,0,3.433228E-05,4.702231,8.361552,0,2.641691E-05,4.758772,7.426097,0,5.493164E-05,5.067274,8.213654,0,0,0,0,0,0,0,0,"",-1,7587232,-10,1.73909E-15,1019.929,0,2.831069E-15,-9.964252E-15,4,-9.999806,1.933722E-11,1019.929,6.425845E-11,5.140588E-05,8.926391E-05,0
44,-9.964252E-15,0,4.226647,6.74334,2.831069E-15,0,3.538029,18.04092,0,-2.498897E-05,1.498919,8.807981,0,3.433228E-05,5.067274,8.361552,0,-2.641691E-05,4.408657,7.426097,0,-5.493164E-05,5.067274,8.213654,0,0,0,0,0,0,0,0,"",-1,7587240,-10,1.73909E-15,1019.929,0,2.831069E-15,-9.964252E-15,4,-10.00019,-1.933722E-11,1019.929,3.43111E-11,-5.140588E-05,-2.059937E-05,4
45,-9.964252E-15,0,4.055224,6.74334,2.831069E-15,0,3.538029,18.04092,0,0,1.699614,8.807981,0,0,3.870194,8.361552,0,0,4.408657,7.426097,0,0,4.869887,8.213654,0,0,0,0,0,0,0,0,"",-1,7587248,-10,1.73909E-15,1019.929,0,2.831069E-15,-9.964252E-15,4,-10,0,1019.929,0,0,0,4
46,-9.964252E-15,0,4.296054,6.738333,2.831069E-15,-2.288818E-05,3.538029,18.02407,0,2.498897E-05,1.498919,8.799963,0,-3.433228E-05,5.067274,8.36427,0,0,4.408657,7.428965,0,0,5.067274,8.216888,0,0,0,0,0,0,0,0,"",-1,7587256,-10,1.73909E-15,1019.929,0,2.831069E-15,-9.964252E-15,4,-10.00011,0,1019.929,-1.258816E-12,2.100789E-06,-3.433228E-05,4
47,-9.964252E-15,0,4.226647,6.738333,2.831069E-15,-2.288818E-05,3.538029,18.02407,0,0,1.133076,8.799963,0,-3.433228E-05,4.702231,8.36427,0,0,4.408657,7.428965,0,0,4.645,8.216888,0,0,0,0,0,0,0,0,"",-1,7587264,-10,1.73909E-15,1019.929,0,2.831069E-15,-9.964252E-15,4,-10.00027,0,1019.929,1.371486E-11,-2.288818E-05,-3.433228E-05,4
48,-9.964252E-15,0,4.055224,6.738333,2.831069E-15,0,3.538029,18.02407,0,-2.498897E-05,1.498919,8.799963,0,6.866455E-05,5.911819,8.36427,0,0,4.408657,7.428965,0,5.493164E-05,4.869887,8.216888,0,0,0,0,0,0,0,0,"",-1,7587272,-10,1.73909E-15,1019.929,0,2.831069E-15,-9.964252E-15,4,-10.00016,0,1019.929,-5.390522E-11,-2.498897E-05,1.235962E-04,4
49,-9.964252E-15,0,3.966736,6.738333,2.831069E-15,0,2.997837,18.02407,0,2.498897E-05,1.498919,8.799963,0,0,5.067274,8.36427,0,-2.641691E-05,4.408657,7.428965,0,5.493164E-05,5.489546,8.216888,0,0,0,0,0,0,0,0,"",-1,7587280,-10,1.73909E-15,1019.929,0,2.831069E-15,-9.964252E-15,4,-9.999871,0,1019.929,-1.369022E-12,-1.427941E-06,5.493164E-05,4
50,-9.964252E-15,3.433228E-05,4.055224,6.733286,2.831069E-15,0,3.538029,18.00717,0,0,1.498919,8.791849,0,0,4.222728,8.36738,0,0,4.408657,7.431713,0,5.493164E-05,5.067274,8.22012,0,0,0,0,0,0,0,0,"",-1,7587288,-10,1.73909E-15,1019.929,0,2.831069E-15,-9.964252E-15,4,-10,-5.992113E-06,1019.929,0,0,8.926391E-05,4
51,-9.964252E-15,0,4.391383,6.733286,2.831069E-15,0,4.085364,18.00717,0,0,1.498919,8.791849,0,3.433228E-05,5.067274,8.36738,0,0,4.408657,7.431713,0,-5.493164E-05,4.869887,8.22012,0,0,0,0,0,0,0,0,"",-1,7587296,-10,1.73909E-15,1019.929,0,2.831069E-15,-9.964252E-15,4,-10,0,1019.929,0,0,-2.059937E-05,4
52,-9.964252E-15,0,4.296054,6.733286,2.831069E-15,-2.288818E-05,3.538029,18.00717,0,0,1.962545,8.791849,0,0,4.702231,8.36738,0,0,4.758772,7.431713,0,-5.493164E-05,5.067274,8.22012,0,0,0,0,0,0,0,0,"",-1,7587304,-10,1.73909E-15,1019.929,0,2.831069E-15,-9.964252E-15,4,-10.00027,0,1019.929,2.194377E-11,-2.288818E-05,-5.493164E-05,4
53,-9.964252E-15,0,3.966736,6.733286,2.831069E-15,0,3.538029,18.00717,0,-2.498897E-05,1.498919,8.791849,0,6.866455E-05,5.067274,8.36738,0,0,4.758772,7.431713,0,5.493164E-05,5.067274,8.22012,0,0,0,0,0,0,0,0,"",-1,7587312,-10,1.73909E-15,1019.929,0,2.831069E-15,-9.964252E-15,4,-10.00016,0,1019.929,-5.390522E-11,-2.498897E-05,1.235962E-04,4
54,-9.964252E-15,0,4.055224,6.728323,2.831069E-15,0,3.538029,17.99041,0,0,1.498919,8.783897,0,0,4.702231,8.370367,0,0,4.408657,7.4347,0,0,5.067274,8.223352,0,0,0,0,0,0,0,0,"",-1,7587320,-10,1.73909E-15,1019.929,0,2.831069E-15,-9.964252E-15,4,-10,0,1019.929,0,0,0,4
55,-9.964252E-15,0,4.055224,6.728323,2.831069E-15,-2.288818E-05,3.538029,17.99041,0,0,1.962545,8.783897,0,3.433228E-05,4.702231,8.370367,0,-2.641691E-05,4.408657,7.4347,0,0,5.067274,8.223352,0,0,0,0,0,0,0,0,"",-1,7587328,-10,1.73909E-15,1019.929,0,2.831069E-15,-9.964252E-15,4,-10.0003,-1.933722E-11,1019.929,-1.371486E-11,-4.93051E-05,3.433228E-05,4
56,-9.964252E-15,0,3.966736,6.728323,2.831069E-15,-2.288818E-05,3.538029,17.99041,0,2.498897E-05,1.498919,8.783897,0,1.029968E-04,5.067274,8.370367,0,0,4.408657,7.4347,0,0,5.067274,8.223352,0,0,0,0,0,0,0,0,"",-1,7587336,-10,1.73909E-15,1019.929,0,2.831069E-15,-9.964252E-15,4,-10.00011,0,1019.929,3.776448E-12,2.100789E-06,1.029968E-04,4
57,-9.964252E-15,0,4.055224,6.728323,2.831069E-15,2.288818E-05,3.538029,17.99041,0,0,1.699614,8.783897,0,-3.433228E-05,5.067274,8.370367,0,0,4.758772,7.4347,0,0,5.067274,8.223352,0,0,0,0,0,0,0,0,"",-1,7587344,-10,1.73909E-15,1019.929,0,2.831069E-15,-9.964252E-15,4,-9.99973,0,1019.929,-1.371486E-11,2.288818E-05,-3.433228E-05,4
58,-9.964252E-15,0,4.055224,6.723257,2.831069E-15,0,2.997837,17.97355,0,2.498897E-05,1.498919,8.775995,0,3.433228E-05,5.538055,8.373635,0,0,4.758772,7.437685,0,0,5.489546,8.2268,0,0,0,0,0,0,0,0,"",-1,7587352,-10,1.73909E-15,1019.929,0,2.831069E-15,-9.964252E-15,4,-9.999839,0,1019.929,1.497367E-11,2.498897E-05,3.433228E-05,4
59,-9.964252E-15,0,4.296054,6.723257,2.831069E-15,0,3.538029,17.97355,0,0,1.699614,8.775995,0,0,3.870194,8.373635,0,0,4.758772,7.437685,0,0,5.067274,8.2268,0,0,0,0,0,0,0,0,"",-1,7587360,-10,1.73909E-15,1019.929,0,2.831069E-15,-9.964252E-15,4,-10,0,1019.929,0,0,0,4
60,-9.964252E-15,0,4.226647,6.723257,2.831069E-15,-2.288818E-05,2.997837,17.97355,0,2.498897E-05,1.498919,8.775995,0,-3.433228E-05,4.222728,8.373635,0,0,4.796097,7.437685,0,0,5.067274,8.2268,0,0,0,0,0,0,0,0,"",-1,7587368,-10,1.73909E-15,1019.929,0,2.831069E-15,-9.964252E-15,4,-10.00011,0,1019.929,-1.258816E-12,2.100789E-06,-3.433228E-05,4
61,-9.964252E-15,0,4.296054,6.723257,2.831069E-15,2.288818E-05,3.538029,17.97355,0,2.498897E-05,1.498919,8.775995,0,3.433228E-05,4.702231,8.373635,0,0,4.758772,7.437685,0,0,5.489546,8.2268,0,0,0,0,0,0,0,0,"",-1,7587376,-10,1.73909E-15,1019.929,0,2.831069E-15,-9.964252E-15,4,-9.999569,0,1019.929,2.868853E-11,4.787715E-05,3.433228E-05,4
62,-9.964252E-15,0,3.966736,6.71832,2.831069E-15,0,3.538029,17.9567,0,0,1.699614,8.768047,0,0,3.870194,8.375736,0,2.641691E-05,4.758772,7.440933,0,0,4.869887,8.230177,0,0,0,0,0,0,0,0,"",-1,7587384,-10,1.73909E-15,1019.929,0,2.831069E-15,-9.964252E-15,4,-9.999968,0,1019.929,0,2.641691E-05,0,0
63,-9.964252E-15,0,3.966736,6.71832,2.831069E-15,-2.288818E-05,3.538029,17.9567,0,-2.498897E-05,1.498919,8.768047,0,0,4.702231,8.375736,0,0,4.758772,7.440933,0,0,5.067274,8.230177,0,0,0,0,0,0,0,0,"",-1,7587392,-10,1.73909E-15,1019.929,0,2.831069E-15,-9.964252E-15,4,-10.00043,0,1019.929,0,-4.787715E-05,0,4
64,-9.964252E-15,0,3.966736,6.71832,2.831069E-15,0,3.538029,17.9567,0,0,1.962545,8.768047,0,0,3.870194,8.375736,0,0,4.758772,7.440933,0,0,5.067274,8.230177,0,0,0,0,0,0,0,0,"",-1,7587400,-10,1.73909E-15,1019.929,0,2.831069E-15,-9.964252E-15,4,-10,0,1019.929,0,0,0,4
